ma_vt,ten_vt,sl_ban_ra,tien_ban_ra,last_date,extra
1402364,Bộ nhớ laptop DDR3 G.Skill 2GB (1333) F3-10666CL9S-2GBSQ,34.0,15978177.0,2018-10-08T00:00:00,662.0
1402366,Bộ nhớ DDR2 G.Skill 2GB (800) F2-6400CL5S-2GBNT,23.0,15514547.0,2018-10-08T00:00:00,163.0
1402368,Bộ nhớ DDR3 G.Skill 4GB (1600) F3-1600C11S-4GIS,107.0,76359966.0,2018-10-09T00:00:00,864.0
1402418,Máy đếm tiền Oudis-6900A,1.0,2981818.0,2018-09-28T00:00:00,223.0
1402436,Cáp nối HDMI Elecom DH-HD14EF15BK (Đen),2.0,543636.0,2018-09-23T00:00:00,794.0
1402446,Cáp Audio Elecom AV-351 (1m),1.0,135455.0,2018-10-01T00:00:00,249.0
1402457,Cáp Micro USB Elecom MPA-AMBCL12BK (Đen),3.0,297273.0,2018-10-03T00:00:00,627.0
1402458,Cáp Micro USB Elecom MPA-AMBCL12WH (Trắng),1.0,99091.0,2018-09-27T00:00:00,209.0
1402479,Màn hình LCD Dell 17'' E1715S,55.0,115994716.0,2018-10-09T00:00:00,76.0
1402498,Mực in Brother LC 535XLC,9.0,1472725.0,2018-10-05T00:00:00,594.0
1402499,Mực in Brother LC 539XL BK,16.0,2909088.0,2018-10-08T00:00:00,141.0
1402500,Mực in Brother LC 535XLM,8.0,1309089.0,2018-10-05T00:00:00,416.0
1402501,Mực in Brother LC 535XLY,10.0,1636361.0,2018-10-05T00:00:00,772.0
1402559,Thẻ nhớ Micro SDHC Kingston 16GB (Class 10),77.0,8238191.0,2018-10-09T00:00:00,715.0
1402560,Thẻ nhớ Micro SDHC Kingston 32GB (Class 10),23.0,5122722.0,2018-10-08T00:00:00,29.0
1402595,ổ cứng HDD WD 4TB WD40EFRX Sata 3 (Đỏ),28.0,85232544.0,2018-10-08T00:00:00,296.0
1402615,Bộ nhớ laptop DDR3 Kingmax 4GB (1600) (DDR3L),69.0,52878469.0,2018-10-09T00:00:00,815.0
1402647,"""ổ cứng HDD HGST 1TB 2.5"""" (5400rpm)""",14.0,15732270.0,2018-10-05T00:00:00,951.0
1402669,Chuột máy tính Dragon Gamming G7,70.0,21634403.0,2018-10-08T00:00:00,434.0
1402670,Chuột máy tính Dragon Gamming G8,27.0,8222357.0,2018-10-09T00:00:00,16.0
1402671,Chuột máy tính Dragon Gamming G9,7.0,2070453.0,2018-09-30T00:00:00,994.0
1402681,Thiết bị mạng/ Router TPLink TL-WR841N,458.0,128323566.0,2018-10-09T00:00:00,964.0
1402684,Thiết bị mạng/ Switch TPLink 16P TL SG1016D,68.0,80129086.0,2018-10-09T00:00:00,360.0
1402685,Thiết bị mạng/ Switch TPLink 24P TL SG1024D,48.0,76729126.0,2018-10-09T00:00:00,730.0
1402736,Bộ cấp nguồn/ Adaptor Dell 19.5V-4.62A (đầu 2 khắc),4.0,1454544.0,2018-09-25T00:00:00,575.0
1402753,Bộ nhớ laptop DDR3 Kingmax 8GB (1600) (DDR3L),40.0,57434051.0,2018-10-09T00:00:00,762.0
1402923,Bộ nhớ laptop DDR3 G.Skill 8GB (1333) F3-10666CL9S-8GBSQ,16.0,23473634.0,2018-10-09T00:00:00,258.0
1402957,Quạt CPU Deepcool Gammaxx 400 (Xanh),70.0,34917673.0,2018-10-08T00:00:00,219.0
1402998,Bộ lưu điện AR2120 1200VA 720W,6.0,12587272.0,2018-10-08T00:00:00,1006.0
1403000,Nguồn/ Power Acbel 700W I G700,13.0,17171823.0,2018-10-04T00:00:00,661.0
1403010,Nguồn/ Power Acbel 650W I G650,18.0,20698226.0,2018-10-09T00:00:00,609.0
1403012,Nguồn/ Power Acbel 750W I G750,34.0,46335087.0,2018-10-07T00:00:00,798.0
1403024,"""Màn hình LCD Philips 18.5"""" 193V5LSB""",39.0,51760237.0,2018-10-09T00:00:00,555.0
1403063,Sửa Màn Hình PC,2.0,1636364.0,2018-09-26T00:00:00,775.0
1403070,Sửa Điện Thoại Di Động,1.0,727273.0,2018-09-29T00:00:00,793.0
1403072,Sửa Điện Thoại Bàn,1.0,530000.0,2018-10-09T00:00:00,275.0
1403073,Sửa Nguồn PC,1.0,1136364.0,2018-09-28T00:00:00,230.0
1403086,Máy đếm tiền Oudis-3900C,6.0,13978184.0,2018-10-02T00:00:00,507.0
1403096,Tai nghe Logitech H540,10.0,8363636.0,2018-09-25T00:00:00,35.0
1403100,Thiết bị adapter Logitech bluetooth Audio Receiver (Nguồn 220v),27.0,16742187.0,2018-10-09T00:00:00,859.0
1403151,Thiết bị mạng/ Router Tenda W3002R Wireless,2.0,818182.0,2018-10-05T00:00:00,892.0
1403154,Box ổ cứng 2.5'' SSK Sata USB 3.0 (SHE 085),13.0,3191814.0,2018-10-03T00:00:00,347.0
1403168,Bàn phím laptop HP G4-2000,1.0,302727.0,2018-10-09T00:00:00,27.0
1403201,Điện thoại bàn NP 1201 (Đỏ),9.0,1260000.0,2018-10-09T00:00:00,768.0
1403228,Bộ nhớ DDR3 G.Skill 8GB (1600) F3-1600C11S-8GIS,35.0,53900000.0,2018-10-08T00:00:00,229.0
1403247,Bàn phím laptop Lenovo G480/B490/B480/G485/B485/Z380/X385/Z480,1.0,181818.0,2018-09-29T00:00:00,198.0
1403261,Máy in Brother MFC-J3520,9.0,69545457.0,2018-10-07T00:00:00,132.0
1403273,áo mưa Phong Vũ,-1.0,0.0,2018-09-21T00:00:00,0.0
1403284,Máy in HP OJ Pro 7110 (CR768A),1.0,4274545.0,2018-09-11T00:00:00,421.0
1403294,Thay cab ổ Cứng,3.0,3181818.0,2018-10-07T00:00:00,441.0
1403355,Máy tính tiền AL-K1P,3.0,10800000.0,2018-10-09T00:00:00,673.0
1403358,Mực in HP CF350A,5.0,6000000.0,2018-10-01T00:00:00,486.0
1403359,Mực in HP CF351A,3.0,3763635.0,2018-09-21T00:00:00,65.0
1403360,Mực in HP CF352A,3.0,3763635.0,2018-09-21T00:00:00,65.0
1403361,Mực in HP CF353A,4.0,5018180.0,2018-09-21T00:00:00,423.0
1403366,Chuột máy tính Lenovo Wireless N700,1.0,0.0,2018-09-14T00:00:00,0.0
1403390,Ba lô Logitech,1.0,0.0,2018-10-08T00:00:00,0.0
1403392,Pin dùng cho laptop Lenovo Y480/G480 (6cell),2.0,1157272.0,2018-09-24T00:00:00,958.0
1403448,Tai nghe Soundmax AH 703,77.0,17973659.0,2018-10-09T00:00:00,342.0
1403461,Loa Soundmax A930 (2.1),21.0,15921812.0,2018-10-08T00:00:00,801.0
1403487,Drum Brother DR 1010VNM,21.0,13363644.0,2018-10-09T00:00:00,448.0
1403505,Máy in Epson L120,13.0,29348177.0,2018-10-09T00:00:00,403.0
1403506,Máy in Epson L1300,1.0,10236364.0,2018-09-27T00:00:00,59.0
1403507,Máy in Epson L1800,11.0,138760454.0,2018-10-02T00:00:00,756.0
1403513,Loa Logitech Z213 (2.1),36.0,16022888.0,2018-10-08T00:00:00,977.0
