asia_category_code,brand_name,category_name,code,color_name,description,description_short,family,id,image,import_amount,import_price,import_value,is_active,last_date,magento_status,model,model2,name,price,product_all_properties,promotion_price,promotion_status,pv_sku,quantity,revenue,series,status,url_key,variant,watched
03-N004-01,TH999999,Lót Chuột,Sửa Mã SP,,"<p>- Bề mặt được đang bằng sợi cotton đặc biệt, cho độ ch&iacute;nh x&aacute;c cao<br />- &Aacute;nh s&aacute;ng t&ugrave;y chỉnh Razer Chroma<br />- Cao su chống trượt<br />- Mạ v&agrave;ng, kết nối USB (để cấp nguồn cho đ&egrave;n Razer Chroma t&ugrave;y chỉnh)<br />- C&aacute;p sợi d&agrave;i bảy ch&acirc;n, trọng lượng nhẹ<br /><br /></p>","<p>- Bề mặt được đang bằng sợi cotton đặc biệt, cho độ ch&iacute;nh x&aacute;c cao<br />- &Aacute;nh s&aacute;ng t&ugrave;y chỉnh Razer Chroma<br />- Cao su chống trượt<br />- Mạ v&agrave;ng, kết nối USB (để cấp nguồn cho đ&egrave;n Razer Chroma t&ugrave;y chỉnh)<br />- C&aacute;p sợi d&agrave;i bảy ch&acirc;n, trọng lượng nhẹ<br /><br /></p>",,46,http://shop.gcafe.vn/media/catalog/product/r/a/razer-firefly-cloth-edition.jpg,0,1279000,0,0,2018-09-24,1,Miếng lót chuột Razer Firefly Cloth Edition,,Miếng lót chuột Razer Firefly Cloth Edition,1599000.0,1703415 mieng lot chuot razer firefly cloth edition lot chuot  th999999,1519000.0000,1.0,1703415,0.0,0.00023770430567224366,,3,mieng-lot-chuot-razer-firefly-cloth-edition,,0
,Razer,Lót Chuột,Sửa Mã SP,,,,,49,http://phongvu.vn/media/catalog/product/r/a/razer_goliathus_control_gravity_edition_large_1.png,0,,0,0,,2,Bàn di chuột Razer Goliathus Control Gravity Edition Large,,Bàn di chuột Razer Goliathus Control Gravity Edition Large,699000.0,1703495 ban di chuot razer goliathus control gravity edition large lot chuot  razer,,0.0,1703495,0.0,0.0,,0,ban-di-chu-t-razer-goliathus-control-gravity-edition-large,,0
03-N004-01,TH999999,Lót Chuột,Sửa Mã SP,,<p>- Kết cấu vải kết cấu để c&acirc;n bằng ho&agrave;n hảo giữa tốc độ v&agrave; lối chơi điều khiển<br />- K&iacute;ch thước tối ưu cho t&iacute;nh di động tối đa<br />- Đế cao su để thoải m&aacute;i tối ưu<br />- Khoảng K&iacute;ch thước: 215mm x 270mm x 1.5mm&nbsp;<br />- Trọng lượng xấp xỉ: 52g</p>,<p>- Kết cấu vải kết cấu để c&acirc;n bằng ho&agrave;n hảo giữa tốc độ v&agrave; lối chơi điều khiển<br />- K&iacute;ch thước tối ưu cho t&iacute;nh di động tối đa<br />- Đế cao su để thoải m&aacute;i tối ưu<br />- Khoảng K&iacute;ch thước: 215mm x 270mm x 1.5mm&nbsp;<br />- Trọng lượng xấp xỉ: 52g</p>,,50,http://shop.gcafe.vn/media/catalog/product/r/a/razer-goliathus-mobile-edition-mouse-mat-512309.1_2.jpg,0,239000,0,0,,1,Miếng lót chuột Razer Goliathus Mobile,,Miếng lót chuột Razer Goliathus Mobile,299000.0,1705121 mieng lot chuot razer goliathus mobile lot chuot  th999999,,0.0,1705121,0.0,0.0,,5,mieng-lot-chuot-razer-goliathus-mobile,,0
03-N004-01,Razer,Lót Chuột,Sửa Mã SP,,"<p>- Tối ưu h&oacute;a sự ch&iacute;nh x&aacute;c cho tất cả c&aacute;c loại mắt đọc của chuột.<br />- Bề mặt vải dệt mịn đồng đều mọi khu vực, chống m&agrave;i m&ograve;n feet chuột.<br />- Bo viền chống bong cao cấp.<br />- Đế cao su chống trượt.<br />- K&iacute;ch thước 920mmx294mm, độ d&agrave;y 3mm.</p>","<p>- Tối ưu h&oacute;a sự ch&iacute;nh x&aacute;c cho tất cả c&aacute;c loại mắt đọc của chuột.<br />- Bề mặt vải dệt mịn đồng đều mọi khu vực, chống m&agrave;i m&ograve;n feet chuột.<br />- Bo viền chống bong cao cấp.<br />- Đế cao su chống trượt.<br />- K&iacute;ch thước 920mmx294mm, độ d&agrave;y 3mm.</p>",,51,http://shop.gcafe.vn/media/catalog/product/r/a/razer-goliathus-speed-cosmic-extended.png,1,719000,0,1,2018-10-04,1,Miếng lót chuột Razer Goliathus Speed Cosmic Edition Extended,,Miếng lót chuột Razer Goliathus Speed Cosmic Edition Extended,890000.0,1703417 mieng lot chuot razer goliathus speed cosmic edition extended lot chuot  razer,,0.0,1703417,0.00013326226012793177,0.0002773163304206666,,1,ban-di-chu-t-razer-goliathus-speed-cosmic-edition-extended,,0
03-N004-01,SteelSeries,Lót Chuột,Sửa Mã SP,,"<p>- Chống nước, c&oacute; thể rửa được&nbsp;<br />- Bề mặt kh&ocirc;ng m&agrave;i,mềm mại&nbsp;<br />- Đế silicone nặng gi&uacute;p cho kh&ocirc;ng bị dịch chuyển khi sử dụng<br />- K&iacute;ch thước 320x270x2mm</p>","<p>- Chống nước, c&oacute; thể rửa được&nbsp;<br />- Bề mặt kh&ocirc;ng m&agrave;i,mềm mại&nbsp;<br />- Đế silicone nặng gi&uacute;p cho kh&ocirc;ng bị dịch chuyển khi sử dụng<br />- K&iacute;ch thước 320x270x2mm</p>",,54,http://shop.gcafe.vn/media/catalog/product/p/u/purchase-gallery-image-dex-top.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,-1,933000,-1,0,,1,Miếng lót chuột SteelSeries Dex,63500.0,Miếng lót chuột SteelSeries Dex,1166000.0,1703425 mieng lot chuot steelseries dex lot chuot  steelseries,,0.0,1703425,0.0,0.0,,5,ban-di-chu-t-steelseries-dex,,0
03-N004-01,TH999999,Lót Chuột,Sửa Mã SP,,<p>- Bề mặt gần như kh&ocirc;ng ma s&aacute;t<br />- Cao su chống trượt<br />- K&iacute;ch thước 450x400x6mm</p>,<p>- Bề mặt gần như kh&ocirc;ng ma s&aacute;t<br />- Cao su chống trượt<br />- K&iacute;ch thước 450x400x6mm</p>,,55,http://shop.gcafe.vn/media/catalog/product/b/a/ban-di-chuot-steelseries-qck-heavy-63008-3730-5846621-1-product.jpg,0,490000,0,0,2018-09-12,1,Miếng lót chuột SteelSeries Qck Heavy,,Miếng lót chuột SteelSeries Qck Heavy,590000.0,1703428 mieng lot chuot steelseries qck heavy lot chuot  th999999,542000.0000,1.0,1703428,0.0,8.881954165124097e-05,,3,mieng-lot-chuot-steelseries-qck-heavy,,0
,SteelSeries,Lót Chuột,Sửa Mã SP,,,,,57,http://phongvu.vn/media/catalog/product/s/t/steelseries-qck-csgo-hyperbeast-poster-large.jpg,0,,0,0,,2,Bàn di chuột SteelSeries QCK+ CSGO HyperBeast,,Bàn di chuột SteelSeries QCK+ CSGO HyperBeast,666000.0,1703630 ban di chuot steelseries qck+ csgo hyperbeast lot chuot  steelseries,,0.0,1703630,0.0,0.0,,0,ban-di-chu-t-steelseries-qck-csgo-hyperbeast,,0
03-N002-99,CM,Bàn Phím,Sửa Mã SP,,"<p><span>- &Aacute;nh s&aacute;ng rực rỡ RGB với 16.7 triệu m&agrave;u.Thiết kế được cấp bằng s&aacute;ng chế gi&uacute;p mỗi chiếc LED bật ra v&agrave; tỏa s&aacute;ng.</span><br /><span>- Nhiều chế độ chiếu s&aacute;ng - t&ugrave;y chỉnh từng m&agrave;u c&oacute; hoặc kh&ocirc;ng c&oacute; phần mềm. C&aacute;c chế độ c&agrave;i đặt sẵn bao gồm s&oacute;ng m&agrave;u, H&iacute;t thở v&agrave; hiệu ứng đ&aacute;p ứng duy nhất.</span><br /><span>100% thiết bị chuyển mạch m&agrave;u CHERRY MX thực sự - game thủ y&ecirc;u cầu tốt nhất, đ&oacute; l&agrave; l&yacute; do tại sao MasterKeys Pro chỉ sử dụng thiết bị chuyển mạch CHERRY MX 100% đ&iacute;ch thực.</span><br /><span>- Macros on-the fly v&agrave; hỗ trợ hồ sơ - chương tr&igrave;nh keystrokes nhiều đến một ph&iacute;m duy nhất hoặc thay đổi &aacute;nh s&aacute;ng nền Per-Key với c&aacute;c lệnh b&agrave;n ph&iacute;m trực quan.</span><br /><span>- 100% chống mờ - c&ocirc;ng nghệ mới cuộn 6-key v&agrave; N-key th&agrave;nh một. Cho d&ugrave; tốc độ v&agrave; dữ dội của n&oacute; được ph&aacute;t hiện tr&ecirc;n iOS hay Windows, b&agrave;n ph&iacute;m của bạn c&oacute; thể xử l&yacute; n&oacute;.</span></p>","<p><span>- &Aacute;nh s&aacute;ng rực rỡ RGB với 16.7 triệu m&agrave;u.Thiết kế được cấp bằng s&aacute;ng chế gi&uacute;p mỗi chiếc LED bật ra v&agrave; tỏa s&aacute;ng.</span><br /><span>- Nhiều chế độ chiếu s&aacute;ng - t&ugrave;y chỉnh từng m&agrave;u c&oacute; hoặc kh&ocirc;ng c&oacute; phần mềm. C&aacute;c chế độ c&agrave;i đặt sẵn bao gồm s&oacute;ng m&agrave;u, H&iacute;t thở v&agrave; hiệu ứng đ&aacute;p ứng duy nhất.</span><br /><span>100% thiết bị chuyển mạch m&agrave;u CHERRY MX thực sự - game thủ y&ecirc;u cầu tốt nhất, đ&oacute; l&agrave; l&yacute; do tại sao MasterKeys Pro chỉ sử dụng thiết bị chuyển mạch CHERRY MX 100% đ&iacute;ch thực.</span><br /><span>- Macros on-the fly v&agrave; hỗ trợ hồ sơ - chương tr&igrave;nh keystrokes nhiều đến một ph&iacute;m duy nhất hoặc thay đổi &aacute;nh s&aacute;ng nền Per-Key với c&aacute;c lệnh b&agrave;n ph&iacute;m trực quan.</span><br /><span>- 100% chống mờ - c&ocirc;ng nghệ mới cuộn 6-key v&agrave; N-key th&agrave;nh một. Cho d&ugrave; tốc độ v&agrave; dữ dội của n&oacute; được ph&aacute;t hiện tr&ecirc;n iOS hay Windows, b&agrave;n ph&iacute;m của bạn c&oacute; thể xử l&yacute; n&oacute;.</span></p>",,69,http://shop.gcafe.vn/media/catalog/product/b/a/ban-phim-co-cooler-master-masterkeys-pro-l-brilliant-rgb-leds-cherry-mx-blue-sgk-6020-kkcl1-us-1-r.jpg,0,2700000,0,1,,1,Bàn phím Masterkeys Pro L RGB,,Bàn phím Masterkeys Pro L RGB,3290000.0,1601560 ban phim masterkeys pro l rgb ban phim  cm,,0.0,1601560,0.0,0.0,Masterkeys,1,ban-phim-co-cooler-master-masterkeys-pro-l-brilliant-rgb-leds-cherry-mx-blue-sgk-6020-kkcl1-us,RGB led,0
03-N002-99,CM,Bàn Phím,Sửa Mã SP,,"<p>- Thiết kế đơn giản ho&aacute; v&agrave; viền mỏng tạo n&ecirc;n sự cứng c&aacute;p.<br />- C&aacute;c chức năng đa phương tiện được t&iacute;ch hợp v&agrave;o c&aacute;c ph&iacute;m, k&iacute;ch hoạt th&ocirc;ng qua tổ hợp ph&iacute;m c&ugrave;ng FN.<br />- Layout 104 ANSI cơ bản.<br />- K&iacute;ch thước :&nbsp;439.23 x 130.32 x 41.95 mm.<br />- Khối lượng : 1130 gram.<br />- D&acirc;y c&aacute;p USB c&oacute; thể th&aacute;o rời.<br />- Bộ nhớ trong : 512kb.<br />- Tốc độ phản hồi : 1ms.<br />- Switch : CherryMX Brown.<br />- Led : Trắng.</p>","<p>- Thiết kế đơn giản ho&aacute; v&agrave; viền mỏng tạo n&ecirc;n sự cứng c&aacute;p.<br />- C&aacute;c chức năng đa phương tiện được t&iacute;ch hợp v&agrave;o c&aacute;c ph&iacute;m, k&iacute;ch hoạt th&ocirc;ng qua tổ hợp ph&iacute;m c&ugrave;ng FN.<br />- Layout 104 ANSI cơ bản.<br />- K&iacute;ch thước :&nbsp;439.23 x 130.32 x 41.95 mm.<br />- Khối lượng : 1130 gram.<br />- D&acirc;y c&aacute;p USB c&oacute; thể th&aacute;o rời.<br />- Bộ nhớ trong : 512kb.<br />- Tốc độ phản hồi : 1ms.<br />- Switch : CherryMX Brown.<br />- Led : Trắng.</p>",,71,http://shop.gcafe.vn/media/catalog/product/1/4/1477585109000_img_698228.jpg,-1,1900000,-1,1,,1,Bàn phím Masterkeys Pro L,,Bàn phím Masterkeys Pro L,2190000.0,1602754 ban phim masterkeys pro l ban phim  cm,,0.0,1602754,0.0,0.0,Masterkeys,1,ban-phim-co-cooler-master-masterkeys-pro-l-intelligent-white-leds-cherry-mx-brown-sgk-4070-kkcm1-us,White led,0
,CM,Bàn Phím,Sửa Mã SP,,,,,72,http://phongvu.vn/media/catalog/product/b/_/b_n_ph_m_cm_masterkeys_pro_m_intelligent_white_leds.jpg,0,,0,0,,2,Bàn phím cơ Cooler Master Masterkeys Pro M - Intelligent White Led - Cherry MX Brown (SGK-4080-KKCM1-US),,Bàn phím cơ Cooler Master Masterkeys Pro M - Intelligent White Led - Cherry MX Brown (SGK-4080-KKCM1-US),1990000.0,1703656 ban phim co cooler master masterkeys pro m - intelligent white led - cherry mx brown (sgk-4080-kkcm1-us) ban phim  cm,,0.0,1703656,0.0,0.0,,0,ban-phim-co-cooler-master-masterkeys-pro-m-intelligent-white-led-cherry-mx-brown-sgk-4080-kkcm1-us,,0
